Year,Y/M,areaCode,areaName,NHS_B,SC_B,Both_B,dtoc_total
2017,2017_MAY,E09000014,Haringey,515.0,329.0,0.0,844.0
2017,2017_MAY,E09000015,Harrow,193.0,105.0,21.0,319.0
2017,2017_MAY,E09000016,Havering,265.0,22.0,0.0,287.0
2017,2017_MAY,E09000017,Hillingdon,630.0,199.0,37.0,866.0
2017,2017_MAY,E09000018,Hounslow,284.0,281.0,20.0,585.0
2017,2017_MAY,E09000019,Islington,335.0,220.0,5.0,560.0
2017,2017_MAY,E09000020,Kensington and Chelsea,159.0,33.0,11.0,203.0
2017,2017_MAY,E09000021,Kingston upon Thames,375.0,64.0,8.0,447.0
2017,2017_MAY,E09000022,Lambeth,458.0,254.0,15.0,727.0
2017,2017_MAY,E09000023,Lewisham,146.0,29.0,0.0,175.0
2017,2017_MAY,E09000024,Merton,173.0,117.0,37.0,327.0
2017,2017_MAY,E09000025,Newham,130.0,130.0,0.0,260.0
2017,2017_MAY,E09000026,Redbridge,180.0,60.0,0.0,240.0
2017,2017_MAY,E09000027,Richmond upon Thames,380.0,192.0,6.0,578.0
2017,2017_MAY,E09000028,Southwark,342.0,132.0,0.0,474.0
2017,2017_MAY,E09000029,Sutton,136.0,82.0,0.0,218.0
2017,2017_MAY,E09000030,Tower Hamlets,271.0,28.0,31.0,330.0
2017,2017_MAY,E09000031,Waltham Forest,232.0,184.0,22.0,438.0
2017,2017_MAY,E09000032,Wandsworth,365.0,94.0,0.0,459.0
2017,2017_MAY,E09000033,Westminster,115.0,42.0,0.0,157.0
2017,2017_MAY,E10000003,Cambridgeshire,1296.0,747.0,248.0,2291.0
2017,2017_MAY,E10000006,Cumbria,1468.0,2616.0,520.0,4604.0
2017,2017_MAY,E10000007,Derbyshire,1058.0,607.0,36.0,1701.0
2017,2017_MAY,E10000008,Devon,2764.0,1161.0,263.0,4188.0
2017,2017_MAY,E10000011,East Sussex,1830.0,1019.0,40.0,2889.0
2017,2017_MAY,E10000012,Essex,1975.0,1671.0,164.0,3810.0
2017,2017_MAY,E10000013,Gloucestershire,828.0,772.0,183.0,1783.0
2017,2017_MAY,E10000014,Hampshire,3141.0,5328.0,680.0,9149.0
2017,2017_MAY,E10000015,Hertfordshire,2738.0,2029.0,98.0,4865.0
2017,2017_MAY,E10000016,Kent,3288.0,1597.0,171.0,5056.0
2017,2017_MAY,E10000017,Lancashire,2035.0,2531.0,232.0,4798.0
2017,2017_MAY,E10000018,Leicestershire,1089.0,248.0,180.0,1517.0
2017,2017_MAY,E10000019,Lincolnshire,2006.0,368.0,330.0,2704.0
2017,2017_MAY,E10000020,Norfolk,1237.0,1216.0,14.0,2467.0
2017,2017_MAY,E10000021,Northamptonshire,2399.0,1202.0,542.0,4143.0
2017,2017_MAY,E10000023,North Yorkshire,931.0,932.0,98.0,1961.0
2017,2017_MAY,E10000024,Nottinghamshire,1363.0,99.0,39.0,1501.0
2017,2017_MAY,E10000025,Oxfordshire,3017.0,961.0,2153.0,6131.0
2017,2017_MAY,E10000027,Somerset,1010.0,967.0,209.0,2186.0
2017,2017_MAY,E10000028,Staffordshire,1782.0,1867.0,123.0,3772.0
2017,2017_MAY,E10000029,Suffolk,1358.0,907.0,383.0,2648.0
2017,2017_MAY,E10000030,Surrey,1878.0,615.0,117.0,2610.0
2017,2017_MAY,E10000031,Warwickshire,899.0,1565.0,33.0,2497.0
2017,2017_MAY,E10000032,West Sussex,2054.0,686.0,69.0,2809.0
